Champagne Migration Log - 11/20/2018 22:20:32
Champagne migrated: Oenothèque Rose old Id: 00FQx8H8yk --> new Id: 8e1af317-80f0-4f86-853a-a3c7d5f82694 --> $$00FQx8H8yk ; $$8e1af317-80f0-4f86-853a-a3c7d5f82694
Champagne migrated: Vintage Rosé old Id: 04MuVqmibs --> new Id: 8c698965-bd44-4ccc-aa09-fbab5e5cfb77 --> $$04MuVqmibs ; $$8c698965-bd44-4ccc-aa09-fbab5e5cfb77
Champagne migrated: Impérial Ice Rosé old Id: 0HbGd1x5VX --> new Id: e8dd5c5e-b898-4440-a0d8-d58dfdf6da9b --> $$0HbGd1x5VX ; $$e8dd5c5e-b898-4440-a0d8-d58dfdf6da9b
Champagne migrated: Clos D'Ambonnay old Id: 07BcRsJNCp --> new Id: d62ac604-1793-4292-b81c-4ff3b36cfc7c --> $$07BcRsJNCp ; $$d62ac604-1793-4292-b81c-4ff3b36cfc7c
Champagne migrated: Cuvée Evidence old Id: 0JiEjCQiak --> new Id: e51a13f2-fcb8-4c2e-8d97-7e5ff8f0860e --> $$0JiEjCQiak ; $$e51a13f2-fcb8-4c2e-8d97-7e5ff8f0860e
Champagne migrated: RSRV Cuvée 4.5 old Id: 0R6eh1j3KZ --> new Id: 1633b391-09cb-4a6b-88a9-037ddfd5e050 --> $$0R6eh1j3KZ ; $$1633b391-09cb-4a6b-88a9-037ddfd5e050
Champagne migrated: Belle Epoque old Id: 0Ty54eGrWu --> new Id: fc2ef176-4d05-4a7e-acee-b0c36b965c9c --> $$0Ty54eGrWu ; $$fc2ef176-4d05-4a7e-acee-b0c36b965c9c
Champagne migrated: La Grande Dame Brut old Id: 1A9uaIn1Gi --> new Id: 80bfbf55-2c86-456a-ab7c-9b7a25535b69 --> $$1A9uaIn1Gi ; $$80bfbf55-2c86-456a-ab7c-9b7a25535b69
Champagne migrated: Blanc de Blancs old Id: 1ObrkYzXcT --> new Id: 88b0006b-5f43-48f9-9e51-c9a20d27dce9 --> $$1ObrkYzXcT ; $$88b0006b-5f43-48f9-9e51-c9a20d27dce9
Champagne migrated: Comtes de Champagne Rosé old Id: 1UqhQXYYWG --> new Id: 343718f1-b4f8-49f9-a1e6-d5ffbbecdc7b --> $$1UqhQXYYWG ; $$343718f1-b4f8-49f9-a1e6-d5ffbbecdc7b
Champagne migrated: Rosé old Id: 1fjcxZEjea --> new Id: 6f7140b5-955d-44cd-8a3a-5fb913997de6 --> $$1fjcxZEjea ; $$6f7140b5-955d-44cd-8a3a-5fb913997de6
Champagne migrated: Brut Millésimé old Id: 1hzKN6WD6f --> new Id: 534a6038-dad2-428a-aa40-67c2e71f090e --> $$1hzKN6WD6f ; $$534a6038-dad2-428a-aa40-67c2e71f090e
Champagne migrated: Belle Epoque Rosé old Id: 1mlhlAXkkB --> new Id: 2d4a61a2-3e5c-493e-be04-2a0e7030dffc --> $$1mlhlAXkkB ; $$2d4a61a2-3e5c-493e-be04-2a0e7030dffc
Champagne migrated: Brut Millésimé old Id: 1pX5FMRYyV --> new Id: 225b5bbe-52dd-4b16-ae86-d7a6f558e188 --> $$1pX5FMRYyV ; $$225b5bbe-52dd-4b16-ae86-d7a6f558e188
Champagne migrated: Vintage Rich old Id: 2DwlX1i7It --> new Id: 9df5dbb9-7568-4f5b-84d7-a3b1a7398701 --> $$2DwlX1i7It ; $$9df5dbb9-7568-4f5b-84d7-a3b1a7398701
Champagne migrated: Vintage Rosé old Id: 2Lfx1GRrQY --> new Id: 193658c6-53fe-42fc-9d4f-7440b5e399fb --> $$2Lfx1GRrQY ; $$193658c6-53fe-42fc-9d4f-7440b5e399fb
Champagne migrated: Vintage Brut old Id: 2YGoy3JpCk --> new Id: e04edf6b-ca8f-4591-89cc-fe69442bb2e5 --> $$2YGoy3JpCk ; $$e04edf6b-ca8f-4591-89cc-fe69442bb2e5
Champagne migrated: Grand Vintage Brut old Id: 2hV7zefKE0 --> new Id: eb857653-ab0f-480a-bc22-2ebff6a0f69e --> $$2hV7zefKE0 ; $$eb857653-ab0f-480a-bc22-2ebff6a0f69e
Champagne migrated: Vintage Rosé old Id: 2lDtCOEiL3 --> new Id: acb859d3-05ed-4244-9067-c23a35afcad9 --> $$2lDtCOEiL3 ; $$acb859d3-05ed-4244-9067-c23a35afcad9
Champagne migrated: Clos D'Ambonnay old Id: 2oWvFgnguO --> new Id: b7ddc488-c3d6-4b45-ae32-e4f228c12bda --> $$2oWvFgnguO ; $$b7ddc488-c3d6-4b45-ae32-e4f228c12bda
Champagne migrated: Sir Winston Churchill old Id: 3GV6rBbtga --> new Id: f9dfb884-9223-43c4-8435-2f48fd9a583c --> $$3GV6rBbtga ; $$f9dfb884-9223-43c4-8435-2f48fd9a583c
Champagne migrated: R. Lalou Millésimé old Id: 3VFqnRScw5 --> new Id: 10f6eede-2f2e-468c-bb48-15074c79c9a3 --> $$3VFqnRScw5 ; $$10f6eede-2f2e-468c-bb48-15074c79c9a3
Champagne migrated: Nectar Réserve old Id: 3dVDPEEUqZ --> new Id: 9406e4a9-ad3c-41ab-8575-c585a82ef8a3 --> $$3dVDPEEUqZ ; $$9406e4a9-ad3c-41ab-8575-c585a82ef8a3
Champagne migrated: Vintage Blanc de Blancs old Id: 3y6BEpExi6 --> new Id: 30ae6e8a-4bf5-4438-8601-0eff012afa27 --> $$3y6BEpExi6 ; $$30ae6e8a-4bf5-4438-8601-0eff012afa27
Champagne migrated: Grand Vintage Brut old Id: 3zUwNjYUEC --> new Id: c5e18cd1-dedd-4af9-bcc7-566e170ed803 --> $$3zUwNjYUEC ; $$c5e18cd1-dedd-4af9-bcc7-566e170ed803
Champagne migrated: Blanc de Blancs old Id: 4DgECSYLvm --> new Id: 3565fc26-a09a-4a8a-a975-1a6400b074f1 --> $$4DgECSYLvm ; $$3565fc26-a09a-4a8a-a975-1a6400b074f1
Champagne migrated: Blanc de Noirs old Id: 4KGN36IjqO --> new Id: c51c0923-58ec-4e18-be58-fc68ebc465dd --> $$4KGN36IjqO ; $$c51c0923-58ec-4e18-be58-fc68ebc465dd
Champagne migrated: La Grande Dame Rosé old Id: 4L5JGnKC9L --> new Id: 1dc55761-28bd-437d-9add-61f2beaa3634 --> $$4L5JGnKC9L ; $$1dc55761-28bd-437d-9add-61f2beaa3634
Champagne migrated: Le Millésimé old Id: 4MYUODqBIi --> new Id: 1ada20cb-3344-486b-b7c4-069cdc6e110a --> $$4MYUODqBIi ; $$1ada20cb-3344-486b-b7c4-069cdc6e110a
Champagne migrated: La Grande Année Rosé  old Id: 4UYz0BnDWj --> new Id: 66bd8155-8edf-4def-9ea6-e3374b769c14 --> $$4UYz0BnDWj ; $$66bd8155-8edf-4def-9ea6-e3374b769c14
Champagne migrated: Blanc de Blancs old Id: 4VDhUz2bjy --> new Id: f6613abd-8125-4efa-8696-03de46d8a9b4 --> $$4VDhUz2bjy ; $$f6613abd-8125-4efa-8696-03de46d8a9b4
